"mmsi","year","month","hours","kir","post","date"
440645000,2012,7,634.604722222222,FALSE,FALSE,2012-07-01
440941000,2012,7,719.007222222222,FALSE,FALSE,2012-07-01
440236000,2012,7,662.633472222222,FALSE,FALSE,2012-07-01
440895000,2012,7,687.58375,FALSE,FALSE,2012-07-01
440810000,2012,7,630.157083333333,FALSE,FALSE,2012-07-01
367359220,2012,7,40.1756944444444,FALSE,FALSE,2012-07-01
441645000,2012,7,615.977777777778,FALSE,FALSE,2012-07-01
440444000,2012,7,17.6333333333333,FALSE,FALSE,2012-07-01
441660000,2012,7,649.840277777778,FALSE,FALSE,2012-07-01
529415000,2012,7,635.797777777778,TRUE,FALSE,2012-07-01
440801000,2012,7,632.644861111111,FALSE,FALSE,2012-07-01
440778000,2012,7,684.744027777778,FALSE,FALSE,2012-07-01
440733000,2012,7,636.826805555556,FALSE,FALSE,2012-07-01
440781000,2012,7,640.357361111111,FALSE,FALSE,2012-07-01
441047000,2012,7,622.363888888889,FALSE,FALSE,2012-07-01
36764000,2012,8,23.4284722222222,FALSE,FALSE,2012-08-01
440886000,2012,8,281.2075,FALSE,FALSE,2012-08-01
440647000,2012,6,638.380416666667,FALSE,FALSE,2012-06-01
440617000,2012,6,636.722777777778,FALSE,FALSE,2012-06-01
440780000,2012,6,563.059027777778,FALSE,FALSE,2012-06-01
440704000,2012,6,610.683611111111,FALSE,FALSE,2012-06-01
440045000,2012,6,620.278055555556,FALSE,FALSE,2012-06-01
441090000,2012,6,615.670833333333,FALSE,FALSE,2012-06-01
441644000,2012,6,583.400555555556,FALSE,FALSE,2012-06-01
440933000,2012,6,636.371666666667,FALSE,FALSE,2012-06-01
520227000,2012,6,529.071111111111,FALSE,FALSE,2012-06-01
440992000,2012,6,719.186527777778,FALSE,FALSE,2012-06-01
441081000,2012,6,603.98375,FALSE,FALSE,2012-06-01
440705000,2012,6,686.626388888889,FALSE,FALSE,2012-06-01
440809000,2012,6,657.101111111111,FALSE,FALSE,2012-06-01
440641000,2012,6,661.538888888889,FALSE,FALSE,2012-06-01
440986000,2012,6,485.981805555556,FALSE,FALSE,2012-06-01
440963000,2012,6,654.282638888889,FALSE,FALSE,2012-06-01
440886000,2012,6,700.926111111111,FALSE,FALSE,2012-06-01
440590000,2012,6,694.789861111111,FALSE,FALSE,2012-06-01
441043000,2012,6,676.038055555556,FALSE,FALSE,2012-06-01
440645000,2012,6,554.182638888889,FALSE,FALSE,2012-06-01
440858000,2012,6,624.042777777778,FALSE,FALSE,2012-06-01
529415000,2012,6,714.501805555556,TRUE,FALSE,2012-06-01
440612000,2012,6,629.332361111111,FALSE,FALSE,2012-06-01
440952000,2012,6,610.748333333333,FALSE,FALSE,2012-06-01
440792000,2012,6,602.880972222222,FALSE,FALSE,2012-06-01
440975000,2012,6,23.4215277777778,FALSE,FALSE,2012-06-01
